 !! ---------- Fit Parameter Table -----------------
!!KERNEL_FILE                                                                                                         
 !! ENERGY,WESUM,ESUM,NCASE, DR,DUMMY,DZ,IR,IZ,Z0
 !!  0.3569677      3.5689788E+07  1.4713424E+07   100000000  0.2000000    
 !!  0.0000000E+00  0.2000000             101         201   20.00000    
 !! Minimum radius for fitting (> outer source channel)  0.2000000    
 !! Minimum and maximum angles to fit directly for primary
 !! and scatter respectively. The rest is interpolated 
 !!   5.000000       175.0000       8.000000       172.0000    
!!  0.30E-01  0.90E-01  0.40E-04  0.43E+00  -.40E-02  0.70E-02  0.60E-01
!! angle      a1                 a2              a3        b1                b2              b3              b4       
   [deg]
!!____________________________________________________________________________________________________________________
  155.0   0.2561896E-01   0.1132813       0.3882090E-03   0.7148000      -0.2202766E-03   0.4603952E-02   0.6854008E-01
  156.0   0.2515978E-01   0.1091447       0.1167141E-03   0.7169581      -0.2397747E-03   0.4596793E-02   0.6889952E-01
  157.0   0.2509468E-01   0.1115564       0.2700763E-03   0.7179379      -0.2444703E-03   0.4581721E-02   0.6893038E-01
  158.0   0.2495701E-01   0.1128009       0.2788028E-03   0.7217016      -0.2698711E-03   0.4568561E-02   0.6928417E-01
  159.0   0.2472017E-01   0.1130069       0.3386084E-03   0.7212713      -0.2574315E-03   0.4550018E-02   0.6909515E-01
  160.0   0.2444007E-01   0.1122464       0.2809226E-03   0.7192920      -0.2396026E-03   0.4534451E-02   0.6872275E-01
  161.0   0.2414824E-01   0.1110315       0.1810463E-03   0.7189210      -0.2506933E-03   0.4529666E-02   0.6890996E-01
  162.0   0.2401442E-01   0.1132611       0.3211558E-03   0.7204146      -0.2475425E-03   0.4501402E-02   0.6900438E-01
  163.0   0.2345779E-01   0.1093338       0.9250569E-04   0.7201889      -0.2567503E-03   0.4484707E-02   0.6857555E-01
  164.0   0.2333127E-01   0.1128919       0.3032188E-03   0.7216606      -0.2690397E-03   0.4464831E-02   0.6872324E-01
  165.0   0.2300806E-01   0.1138772       0.3937560E-03   0.7197509      -0.2649163E-03   0.4451173E-02   0.6845821E-01
  166.0   0.2277819E-01   0.1149684       0.4386189E-03   0.7229330      -0.3131701E-03   0.4446185E-02   0.6880522E-01
  167.0   0.2222640E-01   0.1111802       0.1994506E-03   0.7268919      -0.3536056E-03   0.4433913E-02   0.6935579E-01
  168.0   0.2211503E-01   0.1157955       0.4562167E-03   0.7259464      -0.3613162E-03   0.4426825E-02   0.6926099E-01
  169.0   0.2121401E-01   0.1087804       0.6024815E-04   0.7260434      -0.3925911E-03   0.4426338E-02   0.6931949E-01
  170.0   0.2122669E-01   0.1150915       0.4250975E-03   0.7249347      -0.3999315E-03   0.4417193E-02   0.6922913E-01
  171.0   0.2068271E-01   0.1129325       0.3171200E-03   0.7252662      -0.4287203E-03   0.4409756E-02   0.6925025E-01
  172.0   0.2042841E-01   0.1153162       0.4149736E-03   0.7321960      -0.6049407E-03   0.4442121E-02   0.7037442E-01
  173.0   0.2043480E-01   0.1216460       0.7461949E-03   0.7317424      -0.6442667E-03   0.4439261E-02   0.7050569E-01
  174.0   0.1973669E-01   0.1175308       0.5079173E-03   0.7311180      -0.6834611E-03   0.4435361E-02   0.7061921E-01
  175.0   0.1946381E-01   0.1198033       0.6225623E-03   0.7283691      -0.7227010E-03   0.4442204E-02   0.7070085E-01
  176.0   0.1898428E-01   0.1213454       0.6877008E-03   0.7273989      -0.7564063E-03   0.4436512E-02   0.7075676E-01
  177.0   0.1851206E-01   0.1231494       0.7651462E-03   0.7264000      -0.7843935E-03   0.4430307E-02   0.7078182E-01
  178.0   0.1810174E-01   0.1249825       0.8448361E-03   0.7249579      -0.8057290E-03   0.4427766E-02   0.7078055E-01
  179.0   0.1781822E-01   0.1264136       0.9075750E-03   0.7242434      -0.8185279E-03   0.4424077E-02   0.7077133E-01
  180.0   0.1771644E-01   0.1269632       0.9317755E-03   0.7233540      -0.8235204E-03   0.4426577E-02   0.7076438E-01
